kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06688.01,FALSE POSITIVE,1.620813697,121320.0,5.9968,43.95,1733.0,2127.67,5757.0,4.209,1.177,0.0,680.4,0.636
K06689.01,CANDIDATE,3.37116067,76.9,4.338,1.04,1291.0,656.3,5653.0,4.288,1.163,,10.0,0.4954
K06690.01,FALSE POSITIVE,5.2431228,87.4,12.688,0.7,832.0,113.14,5048.0,4.574,0.766,,11.9,0.2933
K06691.01,FALSE POSITIVE,5.2438266,136.5,11.322,0.79,777.0,86.16,4914.0,4.636,0.69,,15.6,0.2329
K06692.01,FALSE POSITIVE,5.2441517,90.1,9.69,0.91,1056.0,293.68,6060.0,4.509,0.925,0.0,10.5,0.557
K06693.01,FALSE POSITIVE,5.2443332,29.9,11.268,0.58,1054.0,291.25,5952.0,4.489,0.971,0.0,13.5,0.775
K06694.01,FALSE POSITIVE,5.2436612,88.3,11.39,1.1,1249.0,574.76,6598.0,4.387,1.145,0.006,14.5,0.436
K06695.01,FALSE POSITIVE,3.7789374,56.0,10.767,0.48,860.0,129.06,5017.0,4.653,0.605,,15.1,0.6778
K06696.01,FALSE POSITIVE,1.889851153,305780.0,21.62,218.47,1222.0,526.5,5328.0,4.571,0.716,,621.3,3.0356
K06697.01,CANDIDATE,82.97062172,,8.22,,,,,,,,,
K06698.01,FALSE POSITIVE,5.22422449,48875.0,55.484,458.35,596.0,29.83,4011.0,4.699,0.547,,160.9,8.4366
K06699.01,FALSE POSITIVE,2.49904083,128.2,2.651,1.04,1258.0,592.18,5525.0,4.458,0.93,0.039,8.1,0.01
K06700.01,FALSE POSITIVE,1.9956507,18.5,3.629,1.13,2579.0,10450.9,6763.0,3.756,2.6,,14.7,0.1146
K06701.01,FALSE POSITIVE,0.898799064,31.4,1.984,0.73,2278.0,6363.24,6225.0,4.25,1.273,,6.1,0.3677
K06702.01,FALSE POSITIVE,16.434353156,59005.0,5.17812,28.36,789.0,91.8,5963.0,4.322,1.134,,3418.1,0.4947
K06703.01,FALSE POSITIVE,2.15838799,87783.0,6.675,99.89,1830.0,2649.52,5210.0,3.778,1.946,,379.4,1.0054
K06704.01,FALSE POSITIVE,359.534371,5732.0,24.205,64333.8,491.0,13.7,5087.0,3.183,5.899,,96.0,100.806
K06705.01,CANDIDATE,0.99514378,101.0,5.742,0.4,508.0,15.69,3325.0,5.364,0.109,,19.4,1.0182
